ticker_event,earnings_date,window_start,window_end,event_id,timestamp,open,high,low,close,volume,momentum,volatility,avg_volume_event,pre_close,window_return,split
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 14:00:00+00:00,291.82,292.05,288.52,288.985,3606398.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 15:00:00+00:00,288.94,290.0839,286.2,286.2,2952553.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 16:00:00+00:00,286.22,287.92,285.87,286.47,2668050.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 17:00:00+00:00,286.485,286.7,284.92,285.14,2732990.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 18:00:00+00:00,285.11,285.11,282.45,282.79,2942841.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 19:00:00+00:00,282.7804,282.81,280.06,280.81,5862423.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 20:00:00+00:00,280.79,281.4,280.1,280.63,7516541.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 21:00:00+00:00,280.9,280.9921,280.57,280.6048,14111.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 22:00:00+00:00,280.58,281.5,280.27,280.81,11124.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-21 23:00:00+00:00,280.81,280.99,280.01,280.03,15825.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 08:00:00+00:00,280.84,281.0,280.05,280.16,7165.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 09:00:00+00:00,280.23,280.67,279.75,279.99,7732.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 10:00:00+00:00,279.95,281.0,279.23,280.23,13596.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 11:00:00+00:00,280.3,281.91,280.2,281.5,28999.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 12:00:00+00:00,281.3,282.38,280.3,281.45,59655.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 13:00:00+00:00,281.2912,283.2,279.72,280.47,3981268.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 14:00:00+00:00,280.55,282.3,278.9667,279.67,3334698.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 15:00:00+00:00,279.65,280.37,276.03,277.28,2850140.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 16:00:00+00:00,277.285,278.365,276.84,277.16,2178204.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
MSFT,2022-04-26,2022-04-21,2022-05-01,102,2022-04-22 17:00:00+00:00,277.14,277.78,275.84,275.8506,2503092.0,1.1699401869513792e-07,0.0006879481629414297,39849.0,280.7299,-0.03685503685503697,train
